paper_id,venue_name
24f4223c-776f-465d-8490-adb2adb83a76,IEEE Transactions on Circuits and Systems Ii-express Briefs
a3f7ed45-2e0d-4a6f-a0b1-5786f20e2067,network computing and applications
d8212c86-c948-4ed9-8890-88bcd1ea45a8,IEEE Transactions on Industrial Electronics
00db2424-6158-4057-abd8-3e7dc01ea3f4,international symposium on wireless communication systems
cc491405-dcde-4974-99a2-9474698513ac,international conference on networking
59a5287a-c483-48c4-91c4-30083da3c527,international symposium on multiple valued logic
c62feade-aa42-4caf-8a6b-8cfb81b761dd,Scientometrics
089083c7-0967-4fef-a935-1f378d815d06,Entropy
8f9ea7c1-5c16-4ac3-9830-445a30330562,Journal of Economic Theory
c0bcfaab-7719-4df0-a3b4-b7ccd01ebbd9,Mathematical Logic Quarterly
a634125a-79de-437a-a812-9cc5611fceaf,IEEE Transactions on Industrial Electronics
fa2bb10e-7ba4-4fdb-ad47-8ca70c8299c9,international conference on neural information processing
b47b23a5-cb00-4fc1-93f7-4a230b6754b2,European Journal of Operational Research
628114df-b256-4905-9a31-9e8e0420c398,international conference on pattern recognition
